Ship,Class
Akane Shinjo,7
Alabama,7
Amagi,7
Amagi-chan,10
Arizona,1
Arkhangelsk,10
Bismarck,10
California,8
Champagne,0
Colorado,2
Conte di Cavour,1
Duke of York,10
Dunkerque,4
Friedrich der Große,6
Fusou,8
Fusou META,10
Gangut,8
Gascogne,6
Gascogne µ,8
Georgia,0
Giulio Cesare,1
Gneisenau,1
Gneisenau META,7
Haruna,1
Hiei,1
Hiei-chan,1
Honoka,5
Hood,5
Howe,9
Hyuuga,4
Iori Minase,7
Ise,4
Izumo,7
Jean Bart,8
Kaga (Battleship),5
Kii,7
King George V,2
Kirishima,4
Kongou,1
Little Renown,8
Littorio,2
Marco Polo,9
Maryland,2
Massachusetts,8
Mikasa,1
Monarch,9
Mujina,2
Mutsu,2
Nagato,2
Nagisa,2
Nelson,2
Nevada,8
New Jersey,3
North Carolina,8
Odin,9
Oklahoma,8
Pennsylvania,10
Prince of Wales,8
Queen Elizabeth,1
Renown,1
Repulse,1
Richelieu,0
Rodney,2
Scharnhorst,10
Scharnhorst META,5
South Dakota,8
Sovetskaya Belorussiya,7
Sovetskaya Rossiya,5
Super Gamer Kizuna AI,10
Suruga,5
Tennessee,1
Tirpitz,4
Tosa,9
Ulrich von Hutten,6
Valiant,4
Vittorio Veneto,0
Warspite,5
Washington,5
West Virginia,2
Yamashiro,8
